Timestamp,LeftBank,RightBank_1,RightBank_2
2024-01-11 03:26:50,0,0,15044
2024-01-11 03:57:09,0,0,31820
2024-01-11 03:58:48,0,0,29324
2024-01-11 04:29:08,0,0,0
2024-01-11 04:30:50,0,0,45764
2024-01-11 05:01:09,0,0,20204
2024-01-11 05:02:57,0,0,0
2024-01-11 05:33:14,0,0,23612
2024-01-11 05:35:13,0,0,0
2024-01-11 06:05:32,0,0,0
2024-01-11 06:07:22,0,0,0
2024-01-11 06:37:41,0,0,7052
2024-01-11 06:39:24,0,0,3500
2024-01-11 07:09:43,0,0,8820
2024-01-11 07:11:25,26816,13344,0
2024-01-11 07:41:42,78382,61876,82710
2024-01-11 07:43:39,77940,62324,81552
2024-01-11 08:13:59,79310,73228,79983
2024-01-11 08:16:01,79308,73612,78559
2024-01-11 08:46:20,80844,78844,83151
2024-01-11 08:48:22,80656,78820,83757
2024-01-11 09:18:42,83168,79460,86750
2024-01-11 09:20:47,84876,80100,87467
2024-01-11 09:51:08,86642,80229,87643
2024-01-11 09:53:10,87206,76136,89083
2024-01-11 10:23:30,85090,77924,88998
2024-01-11 10:25:35,85459,73828,89276
2024-01-11 10:55:56,82574,72420,84765
2024-01-11 10:57:56,84900,76324,87734
2024-01-11 11:28:16,85668,75748,88155
2024-01-11 11:30:19,85452,80228,90508
2024-01-11 12:00:40,82576,74852,84846
2024-01-11 12:02:45,82956,71524,84504
2024-01-11 12:33:07,85476,78500,87505
2024-01-11 12:35:09,84325,80870,87569
2024-01-11 13:05:33,85284,81596,90734
2024-01-11 13:07:37,83556,77284,84295
2024-01-11 13:37:58,82572,75532,84715
2024-01-11 13:39:56,80471,77860,83379
2024-01-11 14:10:16,82766,71436,84597
2024-01-11 14:12:14,83937,74188,84891
2024-01-11 14:42:33,83727,77540,85122
2024-01-11 14:44:35,82199,77284,83366
2024-01-11 15:14:57,82380,80996,87095
2024-01-11 15:17:00,80460,81980,86151
2024-01-11 15:47:20,82188,78244,81756
2024-01-11 15:49:24,79116,77668,84578
2024-01-11 16:19:44,81228,85821,87211
2024-01-11 16:21:45,80052,85052,84019
2024-01-11 16:52:07,79881,77867,81169
2024-01-11 16:54:09,81078,72169,83434
2024-01-11 17:24:29,82956,75748,84972
2024-01-11 17:26:12,83916,76964,87106
2024-01-11 17:56:32,13632,0,0
2024-01-11 17:58:09,55808,25312,88716
2024-01-11 18:28:26,0,0,0
